,L8
2018-01-23 07:29:00,35787.5388783
2018-01-23 07:30:00,35787.5388783
2018-01-23 07:31:00,35787.5388783
2018-01-23 07:32:00,35787.5388783
2018-01-23 07:33:00,35787.5388783
2018-01-23 07:34:00,35787.5388783
2018-01-23 07:35:00,35787.5388783
2018-01-23 07:36:00,35787.5388783
2018-01-23 07:37:00,35787.5388783
2018-01-23 07:38:00,35787.5388783
2018-01-23 07:39:00,35787.5388783
2018-01-23 07:40:00,35787.5388783
2018-01-23 07:41:00,35787.5388783
2018-01-23 07:42:00,35787.5388783
2018-01-23 07:43:00,35787.5388783
2018-01-23 07:44:00,35863.9962158
2018-01-23 07:45:00,35863.9962158
2018-01-23 07:46:00,35863.9962158
2018-01-23 07:47:00,35863.9962158
2018-01-23 07:48:00,35863.9962158
2018-01-23 07:49:00,35825.767547
2018-01-23 07:50:00,35863.9962158
2018-01-23 07:51:00,35863.9962158
2018-01-23 07:52:00,35863.9962158
2018-01-23 07:53:00,35863.9962158
2018-01-23 07:54:00,35863.9962158
2018-01-23 07:55:00,35863.9962158
2018-01-23 07:56:00,35863.9962158
2018-01-23 07:57:00,35863.9962158
2018-01-23 07:58:00,35863.9962158
2018-01-23 07:59:00,35863.9962158
2018-01-23 08:00:00,35863.9962158
2018-01-23 08:01:00,35863.9962158
2018-01-23 08:02:00,35863.9962158
2018-01-23 08:03:00,35863.9962158
2018-01-23 08:04:00,35863.9962158
2018-01-23 08:05:00,35863.9962158
2018-01-23 08:06:00,35863.9962158
2018-01-23 08:07:00,35863.9962158
2018-01-23 08:08:00,35825.767547
2018-01-23 08:09:00,35825.767547
2018-01-23 08:10:00,35787.5388783
2018-01-23 08:11:00,35787.5388783
2018-01-23 08:12:00,35787.5388783
2018-01-23 08:13:00,35787.5388783
2018-01-23 08:14:00,35787.5388783
2018-01-23 08:15:00,35787.5388783
2018-01-23 08:16:00,35787.5388783
2018-01-23 08:17:00,35787.5388783
2018-01-23 08:18:00,35787.5388783
2018-01-23 08:19:00,35787.5388783
2018-01-23 08:20:00,35787.5388783
2018-01-23 08:21:00,35787.5388783
2018-01-23 08:22:00,35787.5388783
2018-01-23 08:23:00,35787.5388783
2018-01-23 08:24:00,35787.5388783
2018-01-23 08:25:00,35787.5388783
2018-01-23 08:26:00,35787.5388783
2018-01-23 08:27:00,35787.5388783
2018-01-23 08:28:00,35787.5388783
2018-01-23 08:29:00,35787.5388783
2018-01-23 08:30:00,35787.5388783
2018-01-23 08:31:00,35787.5388783
2018-01-23 08:32:00,35787.5388783
2018-01-23 08:33:00,35787.5388783
2018-01-23 08:34:00,35787.5388783
2018-01-23 08:35:00,35787.5388783
2018-01-23 08:36:00,35787.5388783
2018-01-23 08:37:00,35787.5388783
2018-01-23 08:38:00,35787.5388783
2018-01-23 08:39:00,35787.5388783
2018-01-23 08:40:00,35711.0815408
2018-01-23 08:41:00,35711.0815408
2018-01-23 08:42:00,35711.0815408
2018-01-23 08:43:00,35787.5388783
2018-01-23 08:44:00,35787.5388783
2018-01-23 08:45:00,35787.5388783
2018-01-23 08:46:00,35787.5388783
2018-01-23 08:47:00,35787.5388783
2018-01-23 08:48:00,35787.5388783
2018-01-23 08:49:00,35787.5388783
2018-01-23 08:50:00,35787.5388783
2018-01-23 08:51:00,35787.5388783
2018-01-23 08:52:00,35787.5388783
2018-01-23 08:53:00,35787.5388783
2018-01-23 08:54:00,35787.5388783
2018-01-23 08:55:00,35787.5388783
2018-01-23 08:56:00,35787.5388783
2018-01-23 08:57:00,35787.5388783
2018-01-23 08:58:00,35787.5388783
2018-01-23 08:59:00,35787.5388783
2018-01-23 09:00:00,35787.5388783
2018-01-23 09:01:00,35787.5388783
2018-01-23 09:02:00,35787.5388783
2018-01-23 09:03:00,35787.5388783
2018-01-23 09:04:00,35787.5388783
2018-01-23 09:05:00,35787.5388783
2018-01-23 09:06:00,35787.5388783
2018-01-23 09:07:00,35787.5388783
2018-01-23 09:08:00,35787.5388783
2018-01-23 09:09:00,35787.5388783
2018-01-23 09:10:00,35787.5388783
2018-01-23 09:11:00,35787.5388783
2018-01-23 09:12:00,35787.5388783
2018-01-23 09:13:00,35787.5388783
2018-01-23 09:14:00,35787.5388783
2018-01-23 09:15:00,35787.5388783
2018-01-23 09:16:00,35787.5388783
2018-01-23 09:17:00,35787.5388783
2018-01-23 09:18:00,35787.5388783
2018-01-23 09:19:00,35787.5388783
2018-01-23 09:20:00,35711.0815408
2018-01-23 09:21:00,35711.0815408
2018-01-23 09:22:00,35711.0815408
2018-01-23 09:23:00,35711.0815408
2018-01-23 09:24:00,35711.0815408
2018-01-23 09:25:00,35711.0815408
2018-01-23 09:26:00,35711.0815408
2018-01-23 09:27:00,35711.0815408
2018-01-23 09:28:00,35787.5388783
2018-01-23 09:29:00,35787.5388783
2018-01-23 09:30:00,35787.5388783
2018-01-23 09:31:00,35787.5388783
2018-01-23 09:32:00,35749.3102095
2018-01-23 09:33:00,35711.0815408
2018-01-23 09:34:00,35711.0815408
2018-01-23 09:35:00,35711.0815408
2018-01-23 09:36:00,35711.0815408
2018-01-23 09:37:00,35711.0815408
2018-01-23 09:38:00,35711.0815408
2018-01-23 09:39:00,35711.0815408
2018-01-23 09:40:00,35711.0815408
2018-01-23 09:41:00,35787.5388783
2018-01-23 09:42:00,35787.5388783
2018-01-23 09:43:00,35711.0815408
2018-01-23 09:44:00,35711.0815408
2018-01-23 09:45:00,35711.0815408
2018-01-23 09:46:00,35711.0815408
2018-01-23 09:47:00,35711.0815408
2018-01-23 09:48:00,35711.0815408
2018-01-23 09:49:00,35711.0815408
2018-01-23 09:50:00,35711.0815408
2018-01-23 09:51:00,35711.0815408
2018-01-23 09:52:00,35711.0815408
2018-01-23 09:53:00,35711.0815408
2018-01-23 09:54:00,35711.0815408
2018-01-23 09:55:00,35711.0815408
2018-01-23 09:56:00,35711.0815408
2018-01-23 09:57:00,35711.0815408
2018-01-23 09:58:00,35711.0815408
2018-01-23 09:59:00,35711.0815408
2018-01-23 10:00:00,35711.0815408
2018-01-23 10:01:00,35711.0815408
2018-01-23 10:02:00,35711.0815408
2018-01-23 10:03:00,35711.0815408
2018-01-23 10:04:00,35711.0815408
2018-01-23 10:05:00,35711.0815408
2018-01-23 10:06:00,35711.0815408
2018-01-23 10:07:00,35711.0815408
2018-01-23 10:08:00,35672.852872
2018-01-23 10:09:00,35711.0815408
2018-01-23 10:10:00,35711.0815408
2018-01-23 10:11:00,35711.0815408
2018-01-23 10:12:00,35711.0815408
2018-01-23 10:13:00,35711.0815408
2018-01-23 10:14:00,35711.0815408
2018-01-23 10:15:00,35711.0815408
2018-01-23 10:16:00,35711.0815408
2018-01-23 10:17:00,35711.0815408
2018-01-23 10:18:00,35711.0815408
2018-01-23 10:19:00,35711.0815408
2018-01-23 10:20:00,35711.0815408
2018-01-23 10:21:00,35711.0815408
2018-01-23 10:22:00,35634.6242033
2018-01-23 10:23:00,35634.6242033
2018-01-23 10:24:00,35634.6242033
2018-01-23 10:25:00,35634.6242033
2018-01-23 10:26:00,35634.6242033
2018-01-23 10:27:00,35711.0815408
2018-01-23 10:28:00,35711.0815408
2018-01-23 10:29:00,35672.852872
2018-01-23 10:30:00,35634.6242033
2018-01-23 10:31:00,35672.852872
2018-01-23 10:32:00,35634.6242033
2018-01-23 10:33:00,35634.6242033
2018-01-23 10:34:00,35634.6242033
2018-01-23 10:35:00,35711.0815408
2018-01-23 10:36:00,35711.0815408
2018-01-23 10:37:00,35634.6242033
2018-01-23 10:38:00,35634.6242033
2018-01-23 10:39:00,35634.6242033
2018-01-23 10:40:00,35711.0815408
2018-01-23 10:41:00,35711.0815408
2018-01-23 10:42:00,35711.0815408
2018-01-23 10:43:00,35711.0815408
2018-01-23 10:44:00,35711.0815408
2018-01-23 10:45:00,35711.0815408
2018-01-23 10:46:00,35634.6242033
2018-01-23 10:47:00,35634.6242033
2018-01-23 10:48:00,35634.6242033
2018-01-23 10:49:00,35634.6242033
2018-01-23 10:50:00,35711.0815408
2018-01-23 10:51:00,35711.0815408
2018-01-23 10:52:00,35711.0815408
2018-01-23 10:53:00,35711.0815408
2018-01-23 10:54:00,35634.6242033
2018-01-23 10:55:00,35634.6242033
2018-01-23 10:56:00,35634.6242033
2018-01-23 10:57:00,35634.6242033
2018-01-23 10:58:00,35634.6242033
2018-01-23 10:59:00,35672.852872
2018-01-23 11:00:00,35672.852872
2018-01-23 11:01:00,35711.0815408
2018-01-23 11:02:00,35672.852872
2018-01-23 11:03:00,35672.852872
2018-01-23 11:04:00,35672.852872
2018-01-23 11:05:00,35672.852872
2018-01-23 11:06:00,35634.6242033
2018-01-23 11:07:00,35672.852872
2018-01-23 11:08:00,35672.852872
2018-01-23 11:09:00,35634.6242033
2018-01-23 11:10:00,35634.6242033
2018-01-23 11:11:00,35711.0815408
2018-01-23 11:12:00,35711.0815408
2018-01-23 11:13:00,35634.6242033
2018-01-23 11:14:00,35634.6242033
2018-01-23 11:15:00,35634.6242033
2018-01-23 11:16:00,35634.6242033
2018-01-23 11:17:00,35634.6242033
2018-01-23 11:18:00,35634.6242033
2018-01-23 11:19:00,35634.6242033
2018-01-23 11:20:00,35634.6242033
2018-01-23 11:21:00,35634.6242033
2018-01-23 11:22:00,35634.6242033
2018-01-23 11:23:00,35634.6242033
2018-01-23 11:24:00,35634.6242033
2018-01-23 11:25:00,35634.6242033
2018-01-23 11:26:00,35634.6242033
2018-01-23 11:27:00,35634.6242033
2018-01-23 11:28:00,35634.6242033
2018-01-23 11:29:00,35634.6242033
2018-01-23 11:30:00,35634.6242033
2018-01-23 11:31:00,35634.6242033
2018-01-23 11:32:00,35634.6242033
2018-01-23 11:33:00,35634.6242033
2018-01-23 11:34:00,35634.6242033
2018-01-23 11:35:00,35634.6242033
2018-01-23 11:36:00,35634.6242033
2018-01-23 11:37:00,35634.6242033
2018-01-23 11:38:00,35634.6242033
2018-01-23 11:39:00,35634.6242033
2018-01-23 11:40:00,35634.6242033
2018-01-23 11:41:00,35634.6242033
2018-01-23 11:42:00,35634.6242033
2018-01-23 11:43:00,35634.6242033
2018-01-23 11:44:00,35634.6242033
2018-01-23 11:45:00,35634.6242033
2018-01-23 11:46:00,35634.6242033
2018-01-23 11:47:00,35634.6242033
2018-01-23 11:48:00,35634.6242033
2018-01-23 11:49:00,35634.6242033
2018-01-23 11:50:00,35634.6242033
2018-01-23 11:51:00,35634.6242033
2018-01-23 11:52:00,35634.6242033
2018-01-23 11:53:00,35634.6242033
2018-01-23 11:54:00,35634.6242033
2018-01-23 11:55:00,35634.6242033
2018-01-23 11:56:00,35634.6242033
2018-01-23 11:57:00,35634.6242033
2018-01-23 11:58:00,35634.6242033
2018-01-23 11:59:00,35634.6242033
2018-01-24 01:29:00,35672.852872
2018-01-24 01:30:00,35596.3955345
2018-01-24 01:31:00,35596.3955345
2018-01-24 01:32:00,35558.1668658
2018-01-24 01:33:00,35634.6242033
2018-01-24 01:34:00,35634.6242033
2018-01-24 01:35:00,35596.3955345
2018-01-24 01:36:00,35596.3955345
2018-01-24 01:37:00,35634.6242033
2018-01-24 01:38:00,35634.6242033
2018-01-24 01:39:00,35596.3955345
2018-01-24 01:40:00,35634.6242033
2018-01-24 01:41:00,35634.6242033
2018-01-24 01:42:00,35634.6242033
2018-01-24 01:43:00,35634.6242033
2018-01-24 01:44:00,35634.6242033
2018-01-24 01:45:00,35634.6242033
2018-01-24 01:46:00,35634.6242033
2018-01-24 01:47:00,35634.6242033
2018-01-24 01:48:00,35634.6242033
2018-01-24 01:49:00,35634.6242033
2018-01-24 01:50:00,35634.6242033
2018-01-24 01:51:00,35634.6242033
2018-01-24 01:52:00,35634.6242033
2018-01-24 01:53:00,35634.6242033
2018-01-24 01:54:00,35634.6242033
2018-01-24 01:55:00,35634.6242033
2018-01-24 01:56:00,35634.6242033
2018-01-24 01:57:00,35634.6242033
2018-01-24 01:58:00,35634.6242033
2018-01-24 01:59:00,35558.1668658
2018-01-24 02:00:00,35558.1668658
2018-01-24 02:01:00,35558.1668658
2018-01-24 02:02:00,35634.6242033
2018-01-24 02:03:00,35634.6242033
2018-01-24 02:04:00,35634.6242033
2018-01-24 02:05:00,35634.6242033
2018-01-24 02:06:00,35634.6242033
2018-01-24 02:07:00,35634.6242033
2018-01-24 02:08:00,35558.1668658
2018-01-24 02:09:00,35558.1668658
2018-01-24 02:10:00,35558.1668658
2018-01-24 02:11:00,35558.1668658
2018-01-24 02:12:00,35558.1668658
2018-01-24 02:13:00,35558.1668658
2018-01-24 02:14:00,35558.1668658
2018-01-24 02:15:00,35558.1668658
2018-01-24 02:16:00,35558.1668658
2018-01-24 02:17:00,35558.1668658
2018-01-24 02:18:00,35558.1668658
2018-01-24 02:19:00,35558.1668658
2018-01-24 02:20:00,35558.1668658
2018-01-24 02:21:00,35558.1668658
2018-01-24 02:22:00,35558.1668658
2018-01-24 02:23:00,35558.1668658
2018-01-24 02:24:00,35558.1668658
2018-01-24 02:25:00,35558.1668658
2018-01-24 02:26:00,35558.1668658
2018-01-24 02:27:00,35558.1668658
2018-01-24 02:28:00,35558.1668658
2018-01-24 02:29:00,35558.1668658
2018-01-24 02:30:00,35558.1668658
2018-01-24 02:31:00,35558.1668658
2018-01-24 02:32:00,35558.1668658
2018-01-24 02:33:00,35558.1668658
2018-01-24 02:34:00,35558.1668658
2018-01-24 02:35:00,35558.1668658
2018-01-24 02:36:00,35558.1668658
2018-01-24 02:37:00,35558.1668658
2018-01-24 02:38:00,35558.1668658
2018-01-24 02:39:00,35558.1668658
2018-01-24 02:40:00,35558.1668658
2018-01-24 02:41:00,35558.1668658
2018-01-24 02:42:00,35558.1668658
2018-01-24 02:43:00,35558.1668658
2018-01-24 02:44:00,35558.1668658
2018-01-24 02:45:00,35558.1668658
2018-01-24 02:46:00,35558.1668658
2018-01-24 02:47:00,35558.1668658
2018-01-24 02:48:00,35558.1668658
2018-01-24 02:49:00,35558.1668658
2018-01-24 02:50:00,35634.6242033
2018-01-24 02:51:00,35634.6242033
2018-01-24 02:52:00,35634.6242033
2018-01-24 02:53:00,35634.6242033
2018-01-24 02:54:00,35634.6242033
2018-01-24 02:55:00,35634.6242033
2018-01-24 02:56:00,35634.6242033
2018-01-24 02:57:00,35634.6242033
2018-01-24 02:58:00,35634.6242033
2018-01-24 02:59:00,35634.6242033
2018-01-24 03:00:00,35634.6242033
2018-01-24 03:01:00,35634.6242033
2018-01-24 03:02:00,35634.6242033
2018-01-24 03:03:00,35558.1668658
2018-01-24 03:04:00,35558.1668658
2018-01-24 03:05:00,35558.1668658
2018-01-24 03:06:00,35558.1668658
2018-01-24 03:07:00,35558.1668658
2018-01-24 03:08:00,35558.1668658
2018-01-24 03:09:00,35558.1668658
2018-01-24 03:10:00,35558.1668658
2018-01-24 03:11:00,35558.1668658
2018-01-24 03:12:00,35558.1668658
2018-01-24 03:13:00,35558.1668658
2018-01-24 03:14:00,35558.1668658
2018-01-24 03:15:00,35558.1668658
2018-01-24 03:16:00,35558.1668658
2018-01-24 03:17:00,35558.1668658
2018-01-24 03:18:00,35558.1668658
2018-01-24 03:19:00,35558.1668658
2018-01-24 03:20:00,35558.1668658
2018-01-24 03:21:00,35558.1668658
2018-01-24 03:22:00,35558.1668658
2018-01-24 03:23:00,35558.1668658
2018-01-24 03:24:00,35558.1668658
2018-01-24 03:25:00,35558.1668658
2018-01-24 03:26:00,35558.1668658
2018-01-24 03:27:00,35558.1668658
2018-01-24 03:28:00,35558.1668658
2018-01-24 03:29:00,35596.3955345
2018-01-24 03:30:00,35481.7095283
2018-01-24 03:31:00,35481.7095283
2018-01-24 03:32:00,35481.7095283
2018-01-24 03:33:00,35481.7095283
2018-01-24 03:34:00,35481.7095283
2018-01-24 03:35:00,35481.7095283
2018-01-24 03:36:00,35481.7095283
2018-01-24 03:37:00,35481.7095283
2018-01-24 03:38:00,35481.7095283
2018-01-24 03:39:00,35481.7095283
2018-01-24 03:40:00,35481.7095283
2018-01-24 03:41:00,35481.7095283
2018-01-24 03:42:00,35481.7095283
2018-01-24 03:43:00,35481.7095283
2018-01-24 03:44:00,35481.7095283
2018-01-24 03:45:00,35481.7095283
2018-01-24 03:46:00,35481.7095283
2018-01-24 03:47:00,35481.7095283
2018-01-24 03:48:00,35481.7095283
2018-01-24 03:49:00,35481.7095283
2018-01-24 03:50:00,35481.7095283
2018-01-24 03:51:00,35481.7095283
2018-01-24 03:52:00,35481.7095283
2018-01-24 03:53:00,35481.7095283
2018-01-24 03:54:00,35481.7095283
2018-01-24 03:55:00,35558.1668658
2018-01-24 03:56:00,35558.1668658
2018-01-24 03:57:00,35558.1668658
2018-01-24 03:58:00,35558.1668658
2018-01-24 03:59:00,35558.1668658
2018-01-24 04:00:00,35558.1668658
2018-01-24 04:01:00,35558.1668658
2018-01-24 04:02:00,35558.1668658
2018-01-24 04:03:00,35558.1668658
2018-01-24 04:04:00,35558.1668658
2018-01-24 04:05:00,35558.1668658
2018-01-24 04:06:00,35558.1668658
2018-01-24 04:07:00,35558.1668658
2018-01-24 04:08:00,35558.1668658
2018-01-24 04:09:00,35558.1668658
2018-01-24 04:10:00,35558.1668658
2018-01-24 04:11:00,35558.1668658
2018-01-24 04:12:00,35558.1668658
2018-01-24 04:13:00,35558.1668658
2018-01-24 04:14:00,35558.1668658
2018-01-24 04:15:00,35558.1668658
2018-01-24 04:16:00,35558.1668658
2018-01-24 04:17:00,35558.1668658
2018-01-24 04:18:00,35558.1668658
2018-01-24 04:19:00,35481.7095283
2018-01-24 04:20:00,35481.7095283
2018-01-24 04:21:00,35481.7095283
2018-01-24 04:22:00,35481.7095283
2018-01-24 04:23:00,35481.7095283
2018-01-24 04:24:00,35481.7095283
2018-01-24 04:25:00,35481.7095283
2018-01-24 04:26:00,35481.7095283
2018-01-24 04:27:00,35481.7095283
2018-01-24 04:28:00,35481.7095283
2018-01-24 04:29:00,35481.7095283
2018-01-24 04:30:00,35481.7095283
2018-01-24 04:31:00,35481.7095283
2018-01-24 04:32:00,35481.7095283
2018-01-24 04:33:00,35481.7095283
2018-01-24 04:34:00,35481.7095283
2018-01-24 04:35:00,35481.7095283
2018-01-24 04:36:00,35481.7095283
2018-01-24 04:37:00,35481.7095283
2018-01-24 04:38:00,35481.7095283
2018-01-24 04:39:00,35481.7095283
2018-01-24 04:40:00,35481.7095283
2018-01-24 04:41:00,35481.7095283
2018-01-24 04:42:00,35481.7095283
2018-01-24 04:43:00,35481.7095283
2018-01-24 04:44:00,35481.7095283
2018-01-24 04:45:00,35481.7095283
2018-01-24 04:46:00,35558.1668658
2018-01-24 04:47:00,35558.1668658
2018-01-24 04:48:00,35558.1668658
2018-01-24 04:49:00,35558.1668658
2018-01-24 04:50:00,35558.1668658
2018-01-24 04:51:00,35558.1668658
2018-01-24 04:52:00,35558.1668658
2018-01-24 04:53:00,35481.7095283
2018-01-24 04:54:00,35481.7095283
2018-01-24 04:55:00,35481.7095283
2018-01-24 04:56:00,35481.7095283
2018-01-24 04:57:00,35481.7095283
2018-01-24 04:58:00,35481.7095283
2018-01-24 04:59:00,35481.7095283
2018-01-24 05:00:00,35481.7095283
2018-01-24 05:01:00,35481.7095283
2018-01-24 05:02:00,35481.7095283
2018-01-24 05:03:00,35481.7095283
2018-01-24 05:04:00,35481.7095283
2018-01-24 05:05:00,35481.7095283
2018-01-24 05:06:00,35481.7095283
2018-01-24 05:07:00,35481.7095283
2018-01-24 05:08:00,35481.7095283
2018-01-24 05:09:00,35481.7095283
2018-01-24 05:10:00,35481.7095283
2018-01-24 05:11:00,35481.7095283
2018-01-24 05:12:00,35481.7095283
2018-01-24 05:13:00,35481.7095283
2018-01-24 05:14:00,35481.7095283
2018-01-24 05:15:00,35481.7095283
2018-01-24 05:16:00,35481.7095283
2018-01-24 05:17:00,35481.7095283
2018-01-24 05:18:00,35481.7095283
2018-01-24 05:19:00,35481.7095283
2018-01-24 05:20:00,35481.7095283
2018-01-24 05:21:00,35481.7095283
2018-01-24 05:22:00,35481.7095283
2018-01-24 05:23:00,35481.7095283
2018-01-24 05:24:00,35481.7095283
2018-01-24 05:25:00,35481.7095283
2018-01-24 05:26:00,35481.7095283
2018-01-24 05:27:00,35481.7095283
2018-01-24 05:28:00,35481.7095283
2018-01-24 05:29:00,35481.7095283
2018-01-24 05:30:00,35481.7095283
2018-01-24 05:31:00,35481.7095283
2018-01-24 05:32:00,35481.7095283
2018-01-24 05:33:00,35481.7095283
2018-01-24 05:34:00,35481.7095283
2018-01-24 05:35:00,35481.7095283
2018-01-24 05:36:00,35481.7095283
2018-01-24 05:37:00,35481.7095283
2018-01-24 05:38:00,35481.7095283
2018-01-24 05:39:00,35481.7095283
2018-01-24 05:40:00,35481.7095283
2018-01-24 05:41:00,35481.7095283
2018-01-24 05:42:00,35481.7095283
2018-01-24 05:43:00,35481.7095283
2018-01-24 05:44:00,35481.7095283
2018-01-24 05:45:00,35481.7095283
2018-01-24 05:46:00,35481.7095283
2018-01-24 05:47:00,35481.7095283
2018-01-24 05:48:00,35481.7095283
2018-01-24 05:49:00,35481.7095283
2018-01-24 05:50:00,35481.7095283
2018-01-24 05:51:00,35481.7095283
2018-01-24 05:52:00,35481.7095283
2018-01-24 05:53:00,35481.7095283
2018-01-24 05:54:00,35481.7095283
2018-01-24 05:55:00,35405.2521908
2018-01-24 05:56:00,35443.4808595
2018-01-24 05:57:00,35405.2521908
2018-01-24 05:58:00,35405.2521908
2018-01-24 05:59:00,35405.2521908
2018-01-24 06:00:00,35405.2521908
2018-01-24 06:01:00,35405.2521908
2018-01-24 06:02:00,35405.2521908
2018-01-24 06:03:00,35405.2521908
2018-01-24 06:04:00,35405.2521908
2018-01-24 06:05:00,35405.2521908
2018-01-24 06:06:00,35405.2521908
2018-01-24 06:07:00,35405.2521908
2018-01-24 06:08:00,35405.2521908
2018-01-24 06:09:00,35405.2521908
2018-01-24 06:10:00,35405.2521908
2018-01-24 06:11:00,35405.2521908
2018-01-24 06:12:00,35405.2521908
2018-01-24 06:13:00,35405.2521908
2018-01-24 06:14:00,35405.2521908
2018-01-24 06:15:00,35405.2521908
2018-01-24 06:16:00,35328.7948533
2018-01-24 06:17:00,35405.2521908
2018-01-24 06:18:00,35367.023522
2018-01-24 06:19:00,35367.023522
2018-01-24 06:20:00,35328.7948533
2018-01-24 06:21:00,35328.7948533
2018-01-24 06:22:00,35405.2521908
2018-01-24 06:23:00,35405.2521908
2018-01-24 06:24:00,35405.2521908
2018-01-24 06:25:00,35328.7948533
2018-01-24 06:26:00,35328.7948533
2018-01-24 06:27:00,35328.7948533
2018-01-24 06:28:00,35328.7948533
2018-01-24 06:29:00,35328.7948533
2018-01-24 06:30:00,35328.7948533
2018-01-24 06:31:00,35328.7948533
2018-01-24 06:32:00,35328.7948533
2018-01-24 06:33:00,35367.023522
2018-01-24 06:34:00,35328.7948533
2018-01-24 06:35:00,35367.023522
2018-01-24 06:36:00,35328.7948533
2018-01-24 06:37:00,35328.7948533
2018-01-24 06:38:00,35328.7948533
2018-01-24 06:39:00,35405.2521908
2018-01-24 06:40:00,35367.023522
2018-01-24 06:41:00,35367.023522
2018-01-24 06:42:00,35367.023522
2018-01-24 06:43:00,35367.023522
2018-01-24 06:44:00,35328.7948533
2018-01-24 06:45:00,35328.7948533
2018-01-24 06:46:00,35328.7948533
2018-01-24 06:47:00,35328.7948533
2018-01-24 06:48:00,35328.7948533
2018-01-24 06:49:00,35328.7948533
2018-01-24 06:50:00,35328.7948533
2018-01-24 06:51:00,35328.7948533
2018-01-24 06:52:00,35328.7948533
2018-01-24 06:53:00,35328.7948533
2018-01-24 06:54:00,35328.7948533
2018-01-24 06:55:00,35328.7948533
2018-01-24 06:56:00,35328.7948533
2018-01-24 06:57:00,35252.3375158
2018-01-24 06:58:00,35252.3375158
2018-01-24 06:59:00,35328.7948533
2018-01-24 07:00:00,35328.7948533
2018-01-24 07:01:00,35328.7948533
2018-01-24 07:02:00,35328.7948533
2018-01-24 07:03:00,35328.7948533
2018-01-24 07:04:00,35328.7948533
2018-01-24 07:05:00,35328.7948533
2018-01-24 07:06:00,35328.7948533
2018-01-24 07:07:00,35328.7948533
2018-01-24 07:08:00,35328.7948533
2018-01-24 07:09:00,35328.7948533
2018-01-24 07:10:00,35328.7948533
2018-01-24 07:11:00,35328.7948533
2018-01-24 07:12:00,35328.7948533
2018-01-24 07:13:00,35328.7948533
2018-01-24 07:14:00,35328.7948533
2018-01-24 07:15:00,35328.7948533
2018-01-24 07:16:00,35328.7948533
2018-01-24 07:17:00,35328.7948533
2018-01-24 07:18:00,35328.7948533
2018-01-24 07:19:00,35328.7948533
2018-01-24 07:20:00,35328.7948533
2018-01-24 07:21:00,35328.7948533
2018-01-24 07:22:00,35328.7948533
